Nom De L'application,Prix,Catégorie,Developpeur,Date De Sortie,Description
VOB to MP4 - DVD to MP4 - VOB to MP3,4.99,Photo et vidéo,IO Stream,11/23/2022 1:59:15 AM,"Convert VOB to MP4 - VOB to MP3 - DVD to MP4.
Also convert VOB to MOV, MKV, AVI, WMV, WEBM, MXF, M4V, ASF, OGV, FLV, AAC, OGG, FLAC, M4A, M4B, CAF, WAV, AIFF, WMA, AC3, MP2.

💡 Convert multiple files at once, there's no limit to how many files.
🔒 All processing is performed locally on your computer where your files remain safe and private.

Optimize output file size and video quality;
Buy once and keep forever;

## CORE FEATURES

Convert VOB to MP4 and more output formats:
• MOV, MKV, AVI, WMV, WEBM, MXF, M4V, ASF, OGV, FLV.

Convert VOB to MP3 and more output formats:
• AAC, OGG, FLAC, M4A, M4B, CAF, WAV, AIFF, WMA, AC3, MP2.

## OPTIMIZE OUTPUT VIDEOS

Not only a VOB to MP4 converter, but also optimize size and quality output videos.
• Auto mode: keep all default settings or auto choose the best suitable configurations.
• Video resolution options: 4K (2160p), 2K (1440p), Full HD (1080p), HD (720p), SD (480p, 360p, 240p).
• Video framerate options.
• Video video codec options.
• Video bitrate options.
• Audio number of channels options.
• Audio sample rate options.
• Audio codec options.
• Audio bitrate options.

Convert VOB to MP3 (convert VOB to Audio)
• Auto mode: keep all default settings or auto choose the best suitable configurations.
• Audio codec options.
• Audio number of channels options.
• Audio sample rate options.
• Audio bitrate options.

## COMMON FEATURES

• Enable hardware acceleration to save time.
• Auto shutdown when completed.
• Save time with multiple files processed at once or focusing on a single video.
• Awake PC while converting."
Silhouette Art Maker,4.99,Loisirs,MegaAppsLabs,5/10/2023 8:25:31 PM,"Silhouette Art Maker is your ultimate SVG editor for creating and editing SVG Illustrations and silhouette vector art that you can use in any design project.

With this fully featured SVG editor, you’ll create professional high quality SVG files in a short time and with ease. You can import these files into any design project and design.

Download now and start making real projects today! No Ads or hidden premium features or in app purchases. By downloading, you get the full features right away."
Video Converter - PRO,6.99,Photo et vidéo,V3TApps,1/8/2019 4:15:32 PM,"*** Video Converter is FREE for owners of our apps Movie Maker - Video Editor and Movie Maker - Video Editor PRO ***

Video Converter is the powerful and easy-to-use app to convert virtually any video clip to MP4, WMV, MKV format. This is also a great tool for video file compression.
- Convert any video to MP4/WMV files that are compatible with Windows 10/11. These files can be played with Windows's Movies and TV app, and can be edited with Movie Maker - Video Editor/HD Movie Maker - PRO.
- Change video bitrate and quality index to compress video file.
- Convert multiple files at once."
AV1 Video Extensions,0.99,Productivité,Yellow Elephant Productions,11/25/2020 1:14:44 PM,"La seule et principale fonction de AV1 Video Extension est de permettre la lecture de fichiers au format AV1.

AV1 Video Extension ne peut être utilisé qu'avec Media Player. Si vous ne possédez pas cette application, installez-la gratuitement maintenant.

Le processus d'installation est très simple et ne prend que quelques secondes, cliquez simplement sur le bouton ""Obtenir"" et l'extension s'installera automatiquement directement dans l'application Media Player.

S'il est nécessaire de lire un autre format, vous pouvez ajouter encore plus d'extensions au Media Player, telles que:
MKV MPG FLV RMVB QT HEVC WEBM MPEG-2 VOB"
Horloge analogique Version professionnelle,2.99,Utilitaires et outils,Novelty Studio,8/3/2022 11:22:42 AM,"Il s'agit de l'horloge analogique du bureau Windows.
 
Vous pouvez créer plusieurs horloges en sélectionnant le fuseau horaire souhaité.
 
Vous pouvez styliser et tailler l'horloge, y compris la transparence."
Mouse Cursor,1.14,Personnalisation,chengcong,11/29/2018 6:00:29 PM,"Mouse pointer (cursor) theme software, with beautiful wallpaper use, wonderful! Make your computer more personalized!"
DualShock Controller Mapper,4.99,Affaires,AAN Software,8/7/2023 6:32:30 AM,"DualShock Controller Mapper PS3/PS4/PS5 for Windows PC.

Transform your gaming experience on Windows PC with DualShock Mapper - the ultimate controller mapping app designed to unleash the full potential of your DualShock controllers. 

Whether you're playing games on Steam, emulators, or other PC games, DualShock Mapper empowers you to customize your controller settings and elevate your gameplay to a whole new level of precision and control.

* Please note, the configuration file can be used in any games that supports controller mapping."
NAK T-100,24.99,Utilitaires et outils,Anaxwaves,12/14/2020 8:47:09 AM,"NAK T-100 is a lightweight and all-inclusive audio analyzer for inspecting analog audio devices on computer. It is capable of performing 7+ conventional audio measurements in a single setup without swapping a stack of physical instruments. This makes it an agile tool to quickly check whether a given audio device performs to its specifications. Or during a service/repair/modify project, this is a less overkill yet more cost-effective tool for conducting general audio measurements on desk top. Some of the key functions are specifically optimized for tuning analog tape players/recorders.

The app features modern DSP core with traditional analog skin. It adopts the ""Skeuomorphism"" design philosophy to offer era-specific operational experience in working with analog audio devices. However, the underlaying engine works purely from digital domain after all, which does not have to follow the analog measurement principles and yield strict identical readings. Typical tolerances across typologies of test instruments should be expected.

Features and Specifications
[Generator]
  21 spot sinusoidal plus pink noise and square wave
[Level]
  -80dB ~ +10dB 
  (extendable to +30dB with physical input attenuator),
  RMS or peak, 0dB = 1.0V (after calibration)
[AC Volt]
  10mV ~ 300mV, 0.1V ~ 1V,
  1V ~ 10V (with physical input attenuator)
  20Hz ~ 20kHz
  Requires calibration with reference AC volt-meter
[THD+N]
  0.01% ~ 0.3%, 0.1% ~ 3%
  400Hz/1000Hz
[Speed]
  3000Hz/3150Hz ±3%
[Wow & Flutter]
  0.01% ~ 0.3%, 0.1% ~ 3%
  Quasi-Peak DIN 45507
  WRMS DIN 45507
  Peak unweighted
  RMS unweighted
  Spectrum display: 0.2 ~ 100Hz
[Signal/Noise Ratio]
  -100dB ~ -10dB
  IHF-A weighted
[Frequency Response]
  20 ~ 20kHz (extendable to 26kHz at 96kHz sample rate)
  -100dB ~ +10dB
  Gaussian white noise
  Pink noise
  Sweep frequency (asynchronous)
[Lissajous]
  Ellipse figure with time stabilizer
[Oscilloscope]
  Two channel, non-quantitative
[Meter Ballistics]
  RMS: 300mS
  Peak: 10mS raise, 2000mS fall
[Sound Card]
Must have standard stereo input and output.
Sample rate 44.1kHz ~ 96kHz (higher sample rate may work but without guarantee)

Please note:
1. This app is by no means a replacement of laboratory grade instrument.
2. This app is intentionally designed in favour of simplicity and convenience without excessive configurability.
3. This app operates in two switchable modes: Basic and Scope.
4. The Basic mode is the primary working mode. Its UI panel may be unfamiliar to new users at first. But the same ergonomics has been repeatedly proven in the former practices.
5. The Scope mode is a GUI add-on that displays complex measurement results in 2-dimensional plots. It is a lite graphic console without a set of pro implications.
6. The specifications may vary depending on actual sound card used.
7. Calibration will be needed prior to working with a specific audio device on a specific computer.
8. The computer must have stereo audio input (line-in) and stereo audio output (regardless of built-in or external) in order to allow the app functioning properly.
9. Sound devices that have uncommon channel layouts need to be configured for re-mapping the selected channels to the standard stereo channels by using tools outside of this app.
10. Relatively faster computer with less busy multi-tasking workload is recommended."
Komga,0.99,Livres et référence,Gotson,9/7/2023 2:35:41 PM,"Comics and mangas media server.

ORGANIZE: Organize your CBZ, CBR, PDF and EPUB files in different libraries, collections or reading lists.

READ: Use the integrated Webreader, the Tachiyomi extension, any OPDS reader, or other integrations.

MANAGE: Edit metadata for your series and books."
FastSton Image Viewer,1.29,Utilitaires et outils,GuoEmmet studio,1/16/2023 9:22:21 AM,"FastStone Image Viewer is a fast, stable, user-friendly image browser, converter and editor. It has a nice array of features that include image viewing, management, comparison, red-eye removal, e-mailing, resizing, cropping and color adjustments.
Its innovative but intuitive full-screen mode provides quick access to EXIF information, thumbnail browser and major functionalities via hidden toolbars that pop up when your mouse touch the four edges of the screen. Other features include a high quality magnifier and a musical slideshow with 150+ transitional effects, as well as lossless JPEG transitions, drop shadow effects, image annotation, scanner support, histogram. It supports all major graphic formats including BMP, JPEG, JPEG 2000, GIF, PNG, PCX, TIFF, WMF, ICO and TGA."
Calendrier de bureau «,0.99,Utilitaires et outils,Weila Studio,5/16/2023 5:51:06 PM,"Il s'agit d'un calendrier de forme simple qui est bien conçu.

fonctionnalité
Vous rappeler quoi faire.
Enregistrez vos fichiers de tous les jours à l'aide de la technologie de glisser-déposer.
Exportez et importez votre liste de tâches pour vous aider à partager vos réflexions avec les autres.
Recherchez votre liste de tâches et vos fichiers.
Utilisez une base de données SQLite avec journalisation pour protéger vos données."
MKVToolNix,7.99,Conception multimédia,Moritz Bunkus,3/24/2021 6:15:47 PM,"MKVToolNix is an open source application for working with Matroska media files. Matroska itself is a container format based on an open source standard by the non-profit Matroska organization.

Matroska is a very flexible format that can contain any number of video, audio and subtitle tracks. It supports advanced features such: the latest video and audio codecs; complex chapter structures; attachments; an extensive tagging system; and comprehensive track header fields.

MKVToolNix consists of multiple tools in one program: the multiplexer used to create Matroska files; the info tool for inspecting existing Matroska files on an element-by-element level; a powerful editor for chapter structures; a header editor for changing file & track headers as well as modifying attachments; and a job queue for processing long-running processes in the background.

Also included are command-line programs corresponding to the tools mentioned above. These can be used as a basis for arbitrarily complex automation tasks such as batch multiplexing whole movie libraries.

By buying MKVToolNix in the store you directly support the development of MKVToolNix. You will contribute to running costs such as hosting, hardware for testing purposes and acquiring standards documentation. The benefit for you is that you'll receive updates automatically without having to download & install them manually.

For more information visit https://mkvtoolnix.download/"
